display_count,target_notation,response_notation,numeric_value,kind,trials,method,p12,p12_ci_low,p12_ci_high,p24,p24_ci_low,p24_ci_high
2,qk,kkt113,1313,composite,10000,Monte Carlo,0.0363,0.032808611118288936,0.040147508970676524,0.5584,0.5486466728879363,0.5681084761023686
2,qk,kkt1k,1313,composite,10000,Monte Carlo,0.0278,0.024754675024605585,0.031207973036661382,0.3725,0.3630748046205799,0.38202311496394253
2,qk,kq2541,1312,composite,10000,Monte Carlo,0.1195,0.11328800151166359,0.1260042212484213,0.8171,0.8094017931321401,0.8245546751011769
2,qk,kq24241,1312,composite,10000,Monte Carlo,0.0216,0.018929067542718933,0.02463834209834443,0.5767,0.5669885310083982,0.5863525636415401
2,qk,kq232241,1312,composite,10000,Monte Carlo,0.0053,0.004054522887776702,0.006925405100170722,0.4065,0.3969107351738438,0.4161610725214726
2,qk,kq222241,1312,composite,10000,Monte Carlo,0.0011,0.0006143506542303221,0.0019688029200307855,0.164,0.15687200204810384,0.17138604485699085
2,qk,kj32319,1311,composite,10000,Monte Carlo,0.0441,0.04024788569805465,0.04830224401632825,0.7051,0.6960852184224987,0.7139572654458496
2,qk,kt13125,1310,composite,10000,Monte Carlo,0.0488,0.04474778133939989,0.05319873879029866,0.7108,0.7018340912580964,0.7196040150288264
2,qk,ktk125,1310,composite,10000,Monte Carlo,0.0642,0.05956130891199606,0.06917338406788566,0.6629,0.6535738853963794,0.6721010079344542
2,tk,qk,1213,prime,10000,Monte Carlo,0.579,0.5692947491883751,0.588644579069058,0.9427,0.9379724577288768,0.9470875501137259
2,tk,kkt113,1313,composite,10000,Monte Carlo,0.0298,0.026643679348360923,0.03331743271942335,0.5281,0.518306750847127,0.537871668444441
2,tk,kkt1k,1313,composite,10000,Monte Carlo,0.024,0.0211780889734631,0.027187477475421017,0.347,0.3377306208244135,0.35638688267701335
2,tk,kq2541,1312,composite,10000,Monte Carlo,0.1389,0.1322601634838601,0.14581716013944251,0.85,0.8428671825013008,0.8568640186392256
2,tk,kq24241,1312,composite,10000,Monte Carlo,0.0261,0.023152457773687764,0.02941149588203951,0.6005,0.5908633561501586,0.6100594601773355
2,tk,kq232241,1312,composite,10000,Monte Carlo,0.0077,0.006165744043271591,0.009612340752496585,0.442,0.43229045202492355,0.45175409178607484
2,tk,kq222241,1312,composite,10000,Monte Carlo,0.0014,0.000834162028874972,0.002348761146363729,0.1817,0.1742651254285571,0.18937932793421558
2,tk,kj32319,1311,composite,10000,Monte Carlo,0.0465,0.042544258319017675,0.05080402820318598,0.7112,0.7022375846825748,0.7200002144056514
