display_count,target_notation,target_value,own_hand_model,p12,p12_ci_low,p12_ci_high,p12_rounded_percent,p24,p24_ci_low,p24_ci_high,p24_rounded_percent,trials,method,response_count,seed
2,qk,1213,conditional_random,0.2039,0.19611779265981655,0.2119096111752981,20,0.9195,0.9140051136132862,0.924672711753716,92,10000,Monte Carlo,9,16557995383866914900
2,tk,1013,conditional_random,0.5965,0.5868491479779206,0.6060767403365389,60,0.9597,0.9556656725370806,0.9633812793609192,96,10000,Monte Carlo,10,18012679021469419930
3,kkj,131311,conditional_random,0.0003,0.00010203219941781012,0.0008817357722363795,0,0.204,0.19621631517671306,0.21201101185872745,20,10000,Monte Carlo,6,16820104624580778398
3,kqk,131213,conditional_random,0.1603,0.15323984636955834,0.16762104212347934,16,0.6188,0.60923691621568,0.6282718457714472,62,10000,Monte Carlo,7,9682580365590617519
3,kjj,131111,conditional_random,0.2735,0.2648515776996968,0.2823223735622197,27,0.7804,0.7721793966316547,0.7884052570820698,78,10000,Monte Carlo,8,6037367610606332339
3,ktj,131011,conditional_random,0.3565,0.3471691973823827,0.36594101015000136,36,0.8714,0.8646959822109465,0.8778187837993149,87,10000,Monte Carlo,9,623285186071893231
3,qtk,121013,conditional_random,0.5111,0.501300213211613,0.5208912620245579,51,0.9521,0.9477380042902982,0.956114784382936,95,10000,Monte Carlo,10,510042636510171987
4,kjqj,13111211,no_extra_face,0.0003,0.00010203219941781012,0.0008817357722363795,0,0.8497,0.8425615434693707,0.856569888070178,85,10000,Monte Carlo,35,3044416780702288262
4,kjtk,13111013,no_extra_face,0.1939,0.18626939161937364,0.20176569218315452,19,0.9047,0.8987885827070341,0.91030060901174,90,10000,Monte Carlo,36,18357147033441350283
4,ktqj,13101211,no_extra_face,0.2979,0.28901538377487024,0.3069398283665572,30,0.9545,0.9502380024955971,0.9584129429854579,95,10000,Monte Carlo,37,6272034147929369392
4,qkjk,12131113,no_extra_face,0.3608,0.3514427219077533,0.37026418323864296,36,0.9396,0.934759887277341,0.94410250135516,94,10000,Monte Carlo,38,5416091917592350664
4,qqqj,12121211,no_extra_face,0.4136,0.4039825732845759,0.42328378163387703,41,0.9668,0.9631054091414329,0.9701360899797032,97,10000,Monte Carlo,39,10925322996879934629
