target_notation,display_count,own_hand_model,response_notation,numeric_value,kind,trials,p12,p12_ci_low,p12_ci_high,p24,p24_ci_low,p24_ci_high
qk,2,no_extra_joker,kkt113,1313,composite,100000,0.04171,0.04048837368842662,0.04296683500230474,0.61632,0.6133016380353339,0.6193294255381548
qk,2,no_extra_joker,kkt1k,1313,composite,100000,0.03534,0.03421335646319343,0.03650234161059225,0.44173,0.43865443789244474,0.4448100387716958
qk,2,no_extra_joker,kq2541,1312,composite,100000,0.13384,0.13174377883788232,0.13596435185272446,0.8619,0.8597477708633469,0.8640244257257655
qk,2,no_extra_joker,kq24241,1312,composite,100000,0.02454,0.023599171342606584,0.025517356454410882,0.63247,0.6294767315038354,0.6354530913261167
qk,2,no_extra_joker,kq232241,1312,composite,100000,0.00735,0.006839189067965273,0.007898659371862798,0.46747,0.46437889919140357,0.47056359996570113
qk,2,no_extra_joker,kq222241,1312,composite,100000,0.00131,0.0011041624172322497,0.0015541500529958224,0.20583,0.20333544900186448,0.20834715096879267
qk,2,no_extra_joker,kj32319,1311,composite,100000,0.05367,0.05229026342468978,0.05508402642438861,0.76084,0.7581861486011583,0.7634738120462694
qk,2,no_extra_joker,kt13125,1310,composite,100000,0.05379,0.05240878699933983,0.05520549363059153,0.76276,0.7601133879384094,0.7653864252026659
qk,2,no_extra_joker,ktk125,1310,composite,100000,0.07385,0.07224538916963391,0.07548735032622061,0.71973,0.7169379080329324,0.7225052109406117
tk,2,no_extra_joker,qk,1213,prime,100000,0.61624,0.6132215225529811,0.6192495471666055,0.95886,0.9576112718306625,0.960073475687658
tk,2,no_extra_joker,kkt113,1313,composite,100000,0.03294,0.03185160949050309,0.034064272966222976,0.5891,0.586047260179947,0.5921458946033905
tk,2,no_extra_joker,kkt1k,1313,composite,100000,0.02803,0.027024964264701398,0.02907129540879024,0.41536,0.4123090574671209,0.41841744510457735
tk,2,no_extra_joker,kq2541,1312,composite,100000,0.15506,0.15282983247965715,0.15731666795845167,0.88428,0.8822825664859106,0.8862479107322825
tk,2,no_extra_joker,kq24241,1312,composite,100000,0.02808,0.027074076840303378,0.029122178991877003,0.65905,0.6561059348622231,0.6619818459266642
tk,2,no_extra_joker,kq232241,1312,composite,100000,0.00847,0.007920585700220799,0.009057176694235086,0.49043,0.4873320196311225,0.49352871559585243
tk,2,no_extra_joker,kq222241,1312,composite,100000,0.00168,0.0014445992380652131,0.001953684806459548,0.21824,0.21569077868711672,0.22081086787008608
tk,2,no_extra_joker,kj32319,1311,composite,100000,0.05274,0.05137177227293597,0.05414258902453182,0.76088,0.7582262986680334,0.7635136589063453
tk,2,no_extra_joker,kt13125,1310,composite,100000,0.04526,0.043988982593081746,0.046565953364550286,0.7359,0.733158592055424,0.7386232846380594
tk,2,no_extra_joker,ktk125,1310,composite,100000,0.06133,0.05985968079971478,0.06283402056047883,0.69534,0.6924798523766209,0.6981851403885551
kkj,3,no_extra_face,kkk37371313,131313,composite,100000,0.0,0,3.841311258303963e-05,0.00511,0.004686687590705204,0.00557133293986724
kkj,3,no_extra_face,kkk3737132,131313,composite,100000,1e-05,1.7652477303783126e-06,5.664709659040966e-05,0.04404,0.04278569835200276,0.045329331333623976
kkj,3,no_extra_face,kkk3737k2,131313,composite,100000,1e-05,1.7652477303783126e-06,5.664709659040966e-05,0.01956,0.01871996555385309,0.020436944837765706
kkj,3,no_extra_face,kkk373713k,131313,composite,100000,0.0,0,3.841311258303963e-05,0.0059,0.0054439426139570235,0.006394017223897537
kkj,3,no_extra_face,kkq2429283,131312,composite,100000,0.00034,0.00024332974824703784,0.0004750572434194454,0.23123,0.22862717969166857,0.2338534688928693
kkj,3,no_extra_face,kkq23229283,131312,composite,100000,2e-05,5.484738516524055e-06,7.292683754201227e-05,0.04988,0.04854793042481361,0.05124665059565816
kqk,3,no_extra_face,kkj,131311,prime,100000,0.23722,0.23459365213302358,0.23986653626242554,0.76994,0.7673211227222196,0.7725381388065591
kqk,3,no_extra_face,kkk37371313,131313,composite,100000,0.0,0,3.841311258303963e-05,0.00529,0.004859012754883263,0.0057589939469686515
kqk,3,no_extra_face,kkk3737132,131313,composite,100000,1e-05,1.7652477303783126e-06,5.664709659040966e-05,0.04331,0.042065827374250096,0.04458925839452101
kqk,3,no_extra_face,kkk3737k2,131313,composite,100000,0.0,0,3.841311258303963e-05,0.01852,0.017702685605782763,0.019374304685110203
kqk,3,no_extra_face,kkk373713k,131313,composite,100000,0.0,0,3.841311258303963e-05,0.00568,0.005232825588740475,0.006165151150883624
kqk,3,no_extra_face,kkq2429283,131312,composite,100000,0.00019,0.00012164518206696231,0.0002967533335332958,0.22086,0.21829967684924464,0.22344176842324823
kqk,3,no_extra_face,kkq23229283,131312,composite,100000,1e-05,1.7652477303783126e-06,5.664709659040966e-05,0.046,0.04471896923361869,0.04731590987260671
kjj,3,no_extra_face,kkj,131311,prime,100000,0.26061,0.25789853394111467,0.2633398574889279,0.83755,0.8352508455320721,0.8398232217756233
kjj,3,no_extra_face,kqk,131213,prime,100000,0.34286,0.3399241354264014,0.3458079370466213,0.88408,0.8820810861315651,0.8860494064518731
kjj,3,no_extra_face,kkk37371313,131313,composite,100000,0.0,0,3.841311258303963e-05,0.01962,0.018778674509408566,0.020498231272636717
kjj,3,no_extra_face,kkk3737132,131313,composite,100000,6e-05,2.74988190664287e-05,0.00013090968394310096,0.1134,0.1114495790831609,0.11538012193548831
kjj,3,no_extra_face,kkk3737k2,131313,composite,100000,9e-05,4.735143784232029e-05,0.00017105476038045442,0.07702,0.07538368262240931,0.07868881333431145
kjj,3,no_extra_face,kkk373713k,131313,composite,100000,0.0,0,3.841311258303963e-05,0.02765,0.026651736988590774,0.028684551878866434
kjj,3,no_extra_face,kkq2429283,131312,composite,100000,0.00072,0.0005718308846305667,0.0009065269130703536,0.33183,0.328918078032188,0.3347548418340983
kjj,3,no_extra_face,kkq23229283,131312,composite,100000,0.0,0,3.841311258303963e-05,0.08209,0.08040466171683532,0.08380744473092384
ktj,3,no_extra_face,kkj,131311,prime,100000,0.30567,0.3028221723017034,0.30853275733863317,0.86955,0.867448339863273,0.8716232690052171
ktj,3,no_extra_face,kqk,131213,prime,100000,0.34132,0.3383873714544632,0.3442648193309463,0.88341,0.8814061406834626,0.8853844033735467
ktj,3,no_extra_face,kjj,131111,prime,100000,0.30619,0.303340795042827,0.30905409464787253,0.86895,0.8668442901213596,0.8710273648428655
ktj,3,no_extra_face,kkk37371313,131313,composite,100000,0.0,0,3.841311258303963e-05,0.01936,0.018524284247157616,0.02023264150970621
ktj,3,no_extra_face,kkk3737132,131313,composite,100000,2e-05,5.484738516524055e-06,7.292683754201227e-05,0.11096,0.10902825592398145,0.1129216325506572
ktj,3,no_extra_face,kkk3737k2,131313,composite,100000,4e-05,1.5555325305394583e-05,0.0001028547142286384,0.0751,0.07348278544029378,0.0767498580227793
ktj,3,no_extra_face,kkk373713k,131313,composite,100000,0.0,0,3.841311258303963e-05,0.02681,0.025826889772060935,0.027829463629425406
ktj,3,no_extra_face,kkq2429283,131312,composite,100000,0.00055,0.0004226123324926616,0.0007157585256665369,0.33339,0.3304745831666433,0.33631821685073177
ktj,3,no_extra_face,kkq23229283,131312,composite,100000,0.0,0,3.841311258303963e-05,0.08192,0.08023627327819786,0.08363584623001959
qtk,3,no_extra_face,kkj,131311,prime,100000,0.34305,0.34011373855948335,0.34599831931655656,0.88466,0.8826653843783872,0.8866250636458406
qtk,3,no_extra_face,kqk,131213,prime,100000,0.30579,0.30294185409264096,0.3086530663285486,0.87084,0.8687470963568303,0.8729044134058291
qtk,3,no_extra_face,kjj,131111,prime,100000,0.40147,0.39843563214979877,0.4045119375381669,0.93436,0.9328083204186939,0.935878309342143
qtk,3,no_extra_face,ktj,131011,prime,100000,0.53275,0.5296564807810232,0.5358410031601025,0.96916,0.9680703203908817,0.9702136358173196
qtk,3,no_extra_face,kkk37371313,131313,composite,100000,0.0,0,3.841311258303963e-05,0.01983,0.018984172246862205,0.020712717401675795
qtk,3,no_extra_face,kkk3737132,131313,composite,100000,3e-05,1.0202758544517341e-05,8.820804925176732e-05,0.11344,0.11148927533842604,0.1154204226071742
qtk,3,no_extra_face,kkk3737k2,131313,composite,100000,6e-05,2.74988190664287e-05,0.00013090968394310096,0.07753,0.07588865951545912,0.07920379725988683
qtk,3,no_extra_face,kkk373713k,131313,composite,100000,1e-05,1.7652477303783126e-06,5.664709659040966e-05,0.02769,0.02669102169891328,0.028725264095494914
qtk,3,no_extra_face,kkq2429283,131312,composite,100000,0.00043,0.0003192716280651626,0.0005791084492410557,0.32033,0.317444964577793,0.32322883879008274
qtk,3,no_extra_face,kkq23229283,131312,composite,100000,2e-05,5.484738516524055e-06,7.292683754201227e-05,0.07702,0.07538368262240931,0.07868881333431145
KT=131×2×5,2,no_extra_joker,kkt113,1313,composite,100000,0.01672,0.015943659787285815,0.01753346879081245,0.44643,0.44335097899457543,0.44951313658630676
KT=131×2×5,2,no_extra_joker,kkt1k,1313,composite,100000,0.02615,0.025178976872705507,0.027157427234089444,0.43525,0.4321796652631702,0.4383253092349094
KT=131×2×5,2,no_extra_joker,kq2541,1312,composite,100000,0.11838,0.11639234940940069,0.12039696901464722,0.8456,0.8433472118018394,0.8478262370547432
KT=131×2×5,2,no_extra_joker,kq24241,1312,composite,100000,0.02146,0.020580054403516363,0.022376710018274616,0.61358,0.6105577317993304,0.6165935422780152
KT=131×2×5,2,no_extra_joker,kq232241,1312,composite,100000,0.00437,0.003979778135386148,0.004798299246592917,0.36667,0.3636884112657363,0.3696618319748652
KT=131×2×5,2,no_extra_joker,kq222241,1312,composite,100000,0.0006,0.0004662062361749644,0.0007721607806729757,0.12595,0.12390792116910902,0.12802081568041437
KT=131×2×5,2,no_extra_joker,kj32319,1311,composite,100000,0.03259,0.03150731538992579,0.0337085939559791,0.67546,0.6725514107351321,0.6783551093354002
KJ=3×19×23,2,no_extra_joker,kkt113,1313,composite,100000,0.02777,0.026769592801076283,0.0288066868472339,0.56032,0.557241399885909,0.563393965956189
KJ=3×19×23,2,no_extra_joker,kkt1k,1313,composite,100000,0.04097,0.03975896757803398,0.04221629796410401,0.49782,0.494721197553857,0.5009189699273139
KJ=3×19×23,2,no_extra_joker,kq2541,1312,composite,100000,0.16544,0.16314984291611184,0.16775586006577975,0.89952,0.8976412805945031,0.9013680257920187
KJ=3×19×23,2,no_extra_joker,kq24241,1312,composite,100000,0.02683,0.025846526024436184,0.027849825840525658,0.65648,0.6535307373140468,0.6594172409182392
