display_count,target_notation,target_value,target_kind,fixed_notation,own_hand_model,fixed_card_count,random_fill_count,p12,p12_ci_low,p12_ci_high,p12_rounded_percent,previous_p12,delta_p12_percentage_points,p24,p24_ci_low,p24_ci_high,p24_rounded_percent,previous_p24,delta_p24_percentage_points,trials,method,response_count,seed
2,qk,1213,prime,qk,no_extra_joker,2,9,0.2269,0.22431464786943178,0.22950633337266108,23,0.2039,2.2999999999999994,0.94124,0.9397653773222424,0.9426807238741653,94,0.9195,2.173999999999998,100000,Monte Carlo,9,14620232274693292611
2,tk,1013,prime,tk,no_extra_joker,2,9,0.63154,0.6285451895630966,0.634524704715245,63,0.5965,3.503999999999996,0.9722,0.9711627801973693,0.9732009424591072,97,0.9597,1.2499999999999956,100000,Monte Carlo,10,14425105670220677765
3,kkj,131311,prime,kkj,no_extra_face,3,8,0.00036,0.00026006211445195267,0.0004983233406900272,0,0.0003,0.006000000000000005,0.25271,0.25002611534010494,0.25541288301711645,25,0.204,4.871,100000,Monte Carlo,6,7770063094818941256
3,kqk,131213,prime,kqk,no_extra_face,3,8,0.23724,0.23461357479733413,0.2398866120615905,24,0.1603,7.694000000000001,0.77203,0.7694193957393783,0.7746197052225897,77,0.6188,15.322999999999997,100000,Monte Carlo,7,4399468062859818887
3,kjj,131111,prime,kjj,no_extra_face,3,8,0.3875,0.38448486277122906,0.3905237801791023,39,0.2735,11.399999999999999,0.89088,0.888932506709574,0.8927974634555332,89,0.7804,11.048000000000002,100000,Monte Carlo,8,7515631004477060492
3,ktj,131011,prime,ktj,no_extra_face,3,8,0.47638,0.4732854512730536,0.479476363362385,48,0.3565,11.988000000000005,0.95469,0.9533833709482646,0.9559616969354148,95,0.8714,8.329000000000008,100000,Monte Carlo,9,2453059648217442988
3,qtk,121013,prime,qtk,no_extra_face,3,8,0.65651,0.6535607974335946,0.6594471784939047,66,0.5111,14.541000000000004,0.98559,0.9848324934879648,0.9863102004653569,99,0.9521,3.349000000000002,100000,Monte Carlo,10,8981715377710709441
2,KT=131×2×5,1310,composite,kt13125,no_extra_joker,7,4,0.15969,0.1574326556551886,0.16197348907749765,16,,,0.90124,0.8993754649478427,0.9030737092975718,90,,,100000,Monte Carlo,7,14864625538192001805
2,KJ=3×19×23,1311,composite,kj31923,no_extra_joker,7,4,0.19773,0.19527306576363732,0.2002101564994436,20,,,0.92721,0.9255833621144073,0.9288038169539395,93,,,100000,Monte Carlo,6,2035504048105303626
2,KQ=41×2^5,1312,composite,kq4125,no_extra_joker,6,5,0.05162,0.050265791934392956,0.053008655408447014,5,,,0.63073,0.6277338563101185,0.6337161001974656,63,,,100000,Monte Carlo,2,8714684205963532488
